name,category,company,seller,description,short_description,price,compare_price,cost_per_item,stock_quantity,sku,barcode,weight,dimensions,is_active,is_featured,is_digital,image_url
First Aid Kit Model 11,Health,Farhan,Default Seller,High quality First Aid Kit Model 11 from the Health category. Durable and reliable.,Best First Aid Kit Model 11 for your needs.,11952,15745,339,319,SKU-5011,8900001011,3.63,32x16x20,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/health,firstaidkit?lock=11"
Tea Model 12,Grocery,Farhan,Default Seller,High quality Tea Model 12 from the Grocery category. Durable and reliable.,Best Tea Model 12 for your needs.,5703,17740,310,11,SKU-5012,8900001012,1.78,18x29x10,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/grocery,tea?lock=12"
Socks Model 13,Fashion,Farhan,Default Seller,High quality Socks Model 13 from the Fashion category. Durable and reliable.,Best Socks Model 13 for your needs.,8671,18815,201,361,SKU-5013,8900001013,0.95,48x23x19,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/fashion,socks?lock=13"
Tablet Model 14,Electronics,Farhan,Default Seller,High quality Tablet Model 14 from the Electronics category. Durable and reliable.,Best Tablet Model 14 for your needs.,3184,19729,381,127,SKU-5014,8900001014,2.05,48x32x20,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/electronics,tablet?lock=14"
Board Game Model 15,Toys,Farhan,Default Seller,High quality Board Game Model 15 from the Toys category. Durable and reliable.,Best Board Game Model 15 for your needs.,11644,18203,381,132,SKU-5015,8900001015,1.15,31x35x17,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/toys,boardgame?lock=15"
Tennis Ball Model 16,Sports,Farhan,Default Seller,High quality Tennis Ball Model 16 from the Sports category. Durable and reliable.,Best Tennis Ball Model 16 for your needs.,7572,17949,390,111,SKU-5016,8900001016,1.74,10x44x7,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/sports,tennisball?lock=16"
Board Game Model 17,Toys,Farhan,Default Seller,High quality Board Game Model 17 from the Toys category. Durable and reliable.,Best Board Game Model 17 for your needs.,1189,16424,339,11,SKU-5017,8900001017,4.74,35x33x5,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/toys,boardgame?lock=17"
Car Wax Model 18,Automotive,Farhan,Default Seller,High quality Car Wax Model 18 from the Automotive category. Durable and reliable.,Best Car Wax Model 18 for your needs.,5808,19034,329,391,SKU-5018,8900001018,1.04,44x38x18,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/automotive,carwax?lock=18"
Football Model 19,Sports,Farhan,Default Seller,High quality Football Model 19 from the Sports category. Durable and reliable.,Best Football Model 19 for your needs.,5782,19008,221,158,SKU-5019,8900001019,2.39,36x29x19,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/sports,football?lock=19"
Science Fiction Model 20,Books,Farhan,Default Seller,High quality Science Fiction Model 20 from the Books category. Durable and reliable.,Best Science Fiction Model 20 for your needs.,3141,19609,285,395,SKU-5020,8900001020,2.28,49x17x6,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/books,sciencefiction?lock=20"
Monitor Model 21,Electronics,Farhan,Default Seller,High quality Monitor Model 21 from the Electronics category. Durable and reliable.,Best Monitor Model 21 for your needs.,11170,17864,205,404,SKU-5021,8900001021,4.1,12x10x18,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/electronics,monitor?lock=21"
Headphones Model 22,Electronics,Farhan,Default Seller,High quality Headphones Model 22 from the Electronics category. Durable and reliable.,Best Headphones Model 22 for your needs.,10894,17519,310,309,SKU-5022,8900001022,4.68,39x39x18,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/electronics,headphones?lock=22"
Toy Car Model 23,Toys,Farhan,Default Seller,High quality Toy Car Model 23 from the Toys category. Durable and reliable.,Best Toy Car Model 23 for your needs.,9613,15077,320,251,SKU-5023,8900001023,3.29,14x14x6,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/toys,toycar?lock=23"
Dash Cam Model 24,Automotive,Farhan,Default Seller,High quality Dash Cam Model 24 from the Automotive category. Durable and reliable.,Best Dash Cam Model 24 for your needs.,8844,16821,314,83,SKU-5024,8900001024,1.6,28x27x18,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/automotive,dashcam?lock=24"
Dress Model 25,Fashion,Farhan,Default Seller,High quality Dress Model 25 from the Fashion category. Durable and reliable.,Best Dress Model 25 for your needs.,14843,18180,294,93,SKU-5025,8900001025,0.69,43x27x15,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/fashion,dress?lock=25"
Biography Model 26,Books,Farhan,Default Seller,High quality Biography Model 26 from the Books category. Durable and reliable.,Best Biography Model 26 for your needs.,2046,19729,228,231,SKU-5026,8900001026,3.21,45x12x9,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/books,biography?lock=26"
Lotion Model 27,Beauty,Farhan,Default Seller,High quality Lotion Model 27 from the Beauty category. Durable and reliable.,Best Lotion Model 27 for your needs.,14460,16293,309,384,SKU-5027,8900001027,4.84,17x10x10,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/beauty,lotion?lock=27"
Puzzle Model 28,Toys,Farhan,Default Seller,High quality Puzzle Model 28 from the Toys category. Durable and reliable.,Best Puzzle Model 28 for your needs.,1440,16750,369,229,SKU-5028,8900001028,0.64,26x15x14,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/toys,puzzle?lock=28"
Magazine Model 29,Books,Farhan,Default Seller,High quality Magazine Model 29 from the Books category. Durable and reliable.,Best Magazine Model 29 for your needs.,11980,18876,204,114,SKU-5029,8900001029,0.14,50x22x19,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/books,magazine?lock=29"
Salt Model 30,Grocery,Farhan,Default Seller,High quality Salt Model 30 from the Grocery category. Durable and reliable.,Best Salt Model 30 for your needs.,14196,15875,215,126,SKU-5030,8900001030,4.13,33x19x14,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/grocery,salt?lock=30"
Remote Car Model 31,Toys,Farhan,Default Seller,High quality Remote Car Model 31 from the Toys category. Durable and reliable.,Best Remote Car Model 31 for your needs.,9999,17409,276,265,SKU-5031,8900001031,4.52,48x34x10,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/toys,remotecar?lock=31"
Watch Model 32,Fashion,Farhan,Default Seller,High quality Watch Model 32 from the Fashion category. Durable and reliable.,Best Watch Model 32 for your needs.,12392,19090,356,446,SKU-5032,8900001032,2.18,19x29x11,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/fashion,watch?lock=32"
Wireless Mouse Model 33,Electronics,Farhan,Default Seller,High quality Wireless Mouse Model 33 from the Electronics category. Durable and reliable.,Best Wireless Mouse Model 33 for your needs.,1445,19212,229,293,SKU-5033,8900001033,4.08,19x19x10,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/electronics,wirelessmouse?lock=33"
Lipstick Model 34,Beauty,Farhan,Default Seller,High quality Lipstick Model 34 from the Beauty category. Durable and reliable.,Best Lipstick Model 34 for your needs.,4132,19685,237,38,SKU-5034,8900001034,0.45,25x50x12,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/beauty,lipstick?lock=34"
Magazine Model 35,Books,Farhan,Default Seller,High quality Magazine Model 35 from the Books category. Durable and reliable.,Best Magazine Model 35 for your needs.,6804,17199,334,255,SKU-5035,8900001035,1.36,47x15x18,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/books,magazine?lock=35"
Magazine Model 36,Books,Farhan,Default Seller,High quality Magazine Model 36 from the Books category. Durable and reliable.,Best Magazine Model 36 for your needs.,8933,17591,207,347,SKU-5036,8900001036,3.8,13x15x6,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/books,magazine?lock=36"
Board Game Model 37,Toys,Farhan,Default Seller,High quality Board Game Model 37 from the Toys category. Durable and reliable.,Best Board Game Model 37 for your needs.,12948,16987,237,229,SKU-5037,8900001037,4.36,31x29x6,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/toys,boardgame?lock=37"
Pain Relief Model 38,Health,Farhan,Default Seller,High quality Pain Relief Model 38 from the Health category. Durable and reliable.,Best Pain Relief Model 38 for your needs.,6071,19291,395,499,SKU-5038,8900001038,1.88,48x40x13,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/health,painrelief?lock=38"
Clock Model 39,Home & Kitchen,Farhan,Default Seller,High quality Clock Model 39 from the Home & Kitchen category. Durable and reliable.,Best Clock Model 39 for your needs.,5371,19141,215,302,SKU-5039,8900001039,2.88,22x33x7,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/home&kitchen,clock?lock=39"
Jeans Model 40,Fashion,Farhan,Default Seller,High quality Jeans Model 40 from the Fashion category. Durable and reliable.,Best Jeans Model 40 for your needs.,9456,17632,221,243,SKU-5040,8900001040,3.03,36x18x13,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/fashion,jeans?lock=40"
Oil Model 41,Grocery,Farhan,Default Seller,High quality Oil Model 41 from the Grocery category. Durable and reliable.,Best Oil Model 41 for your needs.,14462,18742,369,275,SKU-5041,8900001041,4.4,39x16x5,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/grocery,oil?lock=41"
Tire Inflator Model 42,Automotive,Farhan,Default Seller,High quality Tire Inflator Model 42 from the Automotive category. Durable and reliable.,Best Tire Inflator Model 42 for your needs.,11240,17973,393,172,SKU-5042,8900001042,2.26,39x37x6,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/automotive,tireinflator?lock=42"
Plate Model 43,Home & Kitchen,Farhan,Default Seller,High quality Plate Model 43 from the Home & Kitchen category. Durable and reliable.,Best Plate Model 43 for your needs.,8459,18651,374,168,SKU-5043,8900001043,2.8,24x32x6,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/home&kitchen,plate?lock=43"
Badminton Racket Model 44,Sports,Farhan,Default Seller,High quality Badminton Racket Model 44 from the Sports category. Durable and reliable.,Best Badminton Racket Model 44 for your needs.,6724,15599,201,317,SKU-5044,8900001044,4.7,12x38x16,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/sports,badmintonracket?lock=44"
Seat Covers Model 45,Automotive,Farhan,Default Seller,High quality Seat Covers Model 45 from the Automotive category. Durable and reliable.,Best Seat Covers Model 45 for your needs.,6656,16327,364,334,SKU-5045,8900001045,2.92,39x29x18,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/automotive,seatcovers?lock=45"
Jersey Model 46,Sports,Farhan,Default Seller,High quality Jersey Model 46 from the Sports category. Durable and reliable.,Best Jersey Model 46 for your needs.,7971,19798,285,263,SKU-5046,8900001046,3.6,35x20x9,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/sports,jersey?lock=46"
Monitor Model 47,Electronics,Farhan,Default Seller,High quality Monitor Model 47 from the Electronics category. Durable and reliable.,Best Monitor Model 47 for your needs.,9850,17036,355,37,SKU-5047,8900001047,2.67,28x13x15,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/electronics,monitor?lock=47"
Teddy Bear Model 48,Toys,Farhan,Default Seller,High quality Teddy Bear Model 48 from the Toys category. Durable and reliable.,Best Teddy Bear Model 48 for your needs.,8195,15052,298,322,SKU-5048,8900001048,2.26,38x33x14,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/toys,teddybear?lock=48"
Thermometer Model 49,Health,Farhan,Default Seller,High quality Thermometer Model 49 from the Health category. Durable and reliable.,Best Thermometer Model 49 for your needs.,10431,16020,261,72,SKU-5049,8900001049,2.96,30x32x20,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/health,thermometer?lock=49"
Clock Model 50,Home & Kitchen,Farhan,Default Seller,High quality Clock Model 50 from the Home & Kitchen category. Durable and reliable.,Best Clock Model 50 for your needs.,6490,18640,363,208,SKU-5050,8900001050,2.44,48x10x15,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/home&kitchen,clock?lock=50"
Skirt Model 51,Fashion,Farhan,Default Seller,High quality Skirt Model 51 from the Fashion category. Durable and reliable.,Best Skirt Model 51 for your needs.,11134,19783,222,184,SKU-5051,8900001051,1.5,17x37x7,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/fashion,skirt?lock=51"
Toaster Model 52,Home & Kitchen,Farhan,Default Seller,High quality Toaster Model 52 from the Home & Kitchen category. Durable and reliable.,Best Toaster Model 52 for your needs.,680,15174,289,371,SKU-5052,8900001052,4.52,10x27x18,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/home&kitchen,toaster?lock=52"
Jeans Model 53,Fashion,Farhan,Default Seller,High quality Jeans Model 53 from the Fashion category. Durable and reliable.,Best Jeans Model 53 for your needs.,2116,19872,339,487,SKU-5053,8900001053,0.51,26x31x11,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/fashion,jeans?lock=53"
Jersey Model 54,Sports,Farhan,Default Seller,High quality Jersey Model 54 from the Sports category. Durable and reliable.,Best Jersey Model 54 for your needs.,14119,15765,333,254,SKU-5054,8900001054,1.94,25x43x11,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/sports,jersey?lock=54"
History Book Model 55,Books,Farhan,Default Seller,High quality History Book Model 55 from the Books category. Durable and reliable.,Best History Book Model 55 for your needs.,12121,15177,358,52,SKU-5055,8900001055,3.31,49x48x11,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/books,historybook?lock=55"
Doll Model 56,Toys,Farhan,Default Seller,High quality Doll Model 56 from the Toys category. Durable and reliable.,Best Doll Model 56 for your needs.,2510,15122,223,266,SKU-5056,8900001056,2.18,41x17x12,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/toys,doll?lock=56"
Plate Model 57,Home & Kitchen,Farhan,Default Seller,High quality Plate Model 57 from the Home & Kitchen category. Durable and reliable.,Best Plate Model 57 for your needs.,12540,19577,244,254,SKU-5057,8900001057,1.46,20x16x12,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/home&kitchen,plate?lock=57"
Pain Relief Model 58,Health,Farhan,Default Seller,High quality Pain Relief Model 58 from the Health category. Durable and reliable.,Best Pain Relief Model 58 for your needs.,4900,19720,357,192,SKU-5058,8900001058,3.49,12x35x13,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/health,painrelief?lock=58"
Glucometer Model 59,Health,Farhan,Default Seller,High quality Glucometer Model 59 from the Health category. Durable and reliable.,Best Glucometer Model 59 for your needs.,11843,16276,327,326,SKU-5059,8900001059,3.1,11x12x9,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/health,glucometer?lock=59"
Socks Model 60,Fashion,Farhan,Default Seller,High quality Socks Model 60 from the Fashion category. Durable and reliable.,Best Socks Model 60 for your needs.,7484,15242,260,369,SKU-5060,8900001060,1.92,47x22x12,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/fashion,socks?lock=60"
Lotion Model 61,Beauty,Farhan,Default Seller,High quality Lotion Model 61 from the Beauty category. Durable and reliable.,Best Lotion Model 61 for your needs.,2254,16227,332,385,SKU-5061,8900001061,1.98,23x31x9,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/beauty,lotion?lock=61"
Dress Model 62,Fashion,Farhan,Default Seller,High quality Dress Model 62 from the Fashion category. Durable and reliable.,Best Dress Model 62 for your needs.,13906,17075,288,105,SKU-5062,8900001062,4.73,33x50x18,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/fashion,dress?lock=62"
Running Shoes Model 63,Sports,Farhan,Default Seller,High quality Running Shoes Model 63 from the Sports category. Durable and reliable.,Best Running Shoes Model 63 for your needs.,10755,19339,232,103,SKU-5063,8900001063,3.15,13x19x15,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/sports,runningshoes?lock=63"
Textbook Model 64,Books,Farhan,Default Seller,High quality Textbook Model 64 from the Books category. Durable and reliable.,Best Textbook Model 64 for your needs.,4596,17626,261,425,SKU-5064,8900001064,4.95,14x28x16,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/books,textbook?lock=64"
Plate Model 65,Home & Kitchen,Farhan,Default Seller,High quality Plate Model 65 from the Home & Kitchen category. Durable and reliable.,Best Plate Model 65 for your needs.,1859,17697,325,15,SKU-5065,8900001065,4.84,50x40x12,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/home&kitchen,plate?lock=65"
Toy Car Model 66,Toys,Farhan,Default Seller,High quality Toy Car Model 66 from the Toys category. Durable and reliable.,Best Toy Car Model 66 for your needs.,5202,17433,230,253,SKU-5066,8900001066,0.19,23x13x17,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/toys,toycar?lock=66"
Seat Covers Model 67,Automotive,Farhan,Default Seller,High quality Seat Covers Model 67 from the Automotive category. Durable and reliable.,Best Seat Covers Model 67 for your needs.,687,19706,217,495,SKU-5067,8900001067,2.54,10x47x6,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/automotive,seatcovers?lock=67"
Smartphone Model 68,Electronics,Farhan,Default Seller,High quality Smartphone Model 68 from the Electronics category. Durable and reliable.,Best Smartphone Model 68 for your needs.,10172,17914,213,185,SKU-5068,8900001068,3.72,32x28x20,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/electronics,smartphone?lock=68"
Doll Model 69,Toys,Farhan,Default Seller,High quality Doll Model 69 from the Toys category. Durable and reliable.,Best Doll Model 69 for your needs.,6016,15283,201,381,SKU-5069,8900001069,0.5,13x26x15,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/toys,doll?lock=69"
Cookbook Model 70,Books,Farhan,Default Seller,High quality Cookbook Model 70 from the Books category. Durable and reliable.,Best Cookbook Model 70 for your needs.,10182,17449,365,109,SKU-5070,8900001070,4.8,19x47x14,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/books,cookbook?lock=70"
Jeans Model 71,Fashion,Farhan,Default Seller,High quality Jeans Model 71 from the Fashion category. Durable and reliable.,Best Jeans Model 71 for your needs.,13382,15884,316,336,SKU-5071,8900001071,2.65,14x45x18,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/fashion,jeans?lock=71"
Cricket Bat Model 72,Sports,Farhan,Default Seller,High quality Cricket Bat Model 72 from the Sports category. Durable and reliable.,Best Cricket Bat Model 72 for your needs.,14146,17457,310,254,SKU-5072,8900001072,0.36,17x26x16,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/sports,cricketbat?lock=72"
Watch Model 73,Fashion,Farhan,Default Seller,High quality Watch Model 73 from the Fashion category. Durable and reliable.,Best Watch Model 73 for your needs.,13612,17601,386,35,SKU-5073,8900001073,1.17,38x19x5,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/fashion,watch?lock=73"
Clock Model 74,Home & Kitchen,Farhan,Default Seller,High quality Clock Model 74 from the Home & Kitchen category. Durable and reliable.,Best Clock Model 74 for your needs.,13886,18572,294,324,SKU-5074,8900001074,2.37,41x22x13,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/home&kitchen,clock?lock=74"
Floor Mats Model 75,Automotive,Farhan,Default Seller,High quality Floor Mats Model 75 from the Automotive category. Durable and reliable.,Best Floor Mats Model 75 for your needs.,5660,15771,269,62,SKU-5075,8900001075,4.28,38x39x10,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/automotive,floormats?lock=75"
Puzzle Model 76,Toys,Farhan,Default Seller,High quality Puzzle Model 76 from the Toys category. Durable and reliable.,Best Puzzle Model 76 for your needs.,13448,17559,395,427,SKU-5076,8900001076,2.5,11x41x18,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/toys,puzzle?lock=76"
Wireless Mouse Model 77,Electronics,Farhan,Default Seller,High quality Wireless Mouse Model 77 from the Electronics category. Durable and reliable.,Best Wireless Mouse Model 77 for your needs.,10601,18596,388,285,SKU-5077,8900001077,0.7,48x19x5,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/electronics,wirelessmouse?lock=77"
Nail Polish Model 78,Beauty,Farhan,Default Seller,High quality Nail Polish Model 78 from the Beauty category. Durable and reliable.,Best Nail Polish Model 78 for your needs.,6911,15133,270,48,SKU-5078,8900001078,4.47,49x26x8,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/beauty,nailpolish?lock=78"
Sugar Model 79,Grocery,Farhan,Default Seller,High quality Sugar Model 79 from the Grocery category. Durable and reliable.,Best Sugar Model 79 for your needs.,3763,15668,214,46,SKU-5079,8900001079,2.86,30x37x16,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/grocery,sugar?lock=79"
Puzzle Model 80,Toys,Farhan,Default Seller,High quality Puzzle Model 80 from the Toys category. Durable and reliable.,Best Puzzle Model 80 for your needs.,10956,19419,276,61,SKU-5080,8900001080,4.4,42x24x14,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/toys,puzzle?lock=80"
Slime Model 81,Toys,Farhan,Default Seller,High quality Slime Model 81 from the Toys category. Durable and reliable.,Best Slime Model 81 for your needs.,3933,16847,384,338,SKU-5081,8900001081,1.54,33x14x19,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/toys,slime?lock=81"
Lego Set Model 82,Toys,Farhan,Default Seller,High quality Lego Set Model 82 from the Toys category. Durable and reliable.,Best Lego Set Model 82 for your needs.,4196,15566,356,378,SKU-5082,8900001082,0.15,40x43x7,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/toys,legoset?lock=82"
Puzzle Model 83,Toys,Farhan,Default Seller,High quality Puzzle Model 83 from the Toys category. Durable and reliable.,Best Puzzle Model 83 for your needs.,10044,18318,366,317,SKU-5083,8900001083,4.9,28x10x19,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/toys,puzzle?lock=83"
Lego Set Model 84,Toys,Farhan,Default Seller,High quality Lego Set Model 84 from the Toys category. Durable and reliable.,Best Lego Set Model 84 for your needs.,6170,15640,227,395,SKU-5084,8900001084,1.31,27x17x12,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/toys,legoset?lock=84"
Tablet Model 85,Electronics,Farhan,Default Seller,High quality Tablet Model 85 from the Electronics category. Durable and reliable.,Best Tablet Model 85 for your needs.,4194,18873,296,130,SKU-5085,8900001085,1.49,46x41x5,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/electronics,tablet?lock=85"
Glucometer Model 86,Health,Farhan,Default Seller,High quality Glucometer Model 86 from the Health category. Durable and reliable.,Best Glucometer Model 86 for your needs.,8164,16848,362,460,SKU-5086,8900001086,0.47,21x25x12,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/health,glucometer?lock=86"
Biography Model 87,Books,Farhan,Default Seller,High quality Biography Model 87 from the Books category. Durable and reliable.,Best Biography Model 87 for your needs.,14695,17624,211,99,SKU-5087,8900001087,3.3,40x36x14,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/books,biography?lock=87"
Pan Model 88,Home & Kitchen,Farhan,Default Seller,High quality Pan Model 88 from the Home & Kitchen category. Durable and reliable.,Best Pan Model 88 for your needs.,12686,17207,383,448,SKU-5088,8900001088,3.18,11x45x10,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/home&kitchen,pan?lock=88"
Lipstick Model 89,Beauty,Farhan,Default Seller,High quality Lipstick Model 89 from the Beauty category. Durable and reliable.,Best Lipstick Model 89 for your needs.,10231,19320,269,110,SKU-5089,8900001089,2.47,25x48x19,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/beauty,lipstick?lock=89"
Toaster Model 90,Home & Kitchen,Farhan,Default Seller,High quality Toaster Model 90 from the Home & Kitchen category. Durable and reliable.,Best Toaster Model 90 for your needs.,14180,18843,251,346,SKU-5090,8900001090,4,19x20x12,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/home&kitchen,toaster?lock=90"
Lipstick Model 91,Beauty,Farhan,Default Seller,High quality Lipstick Model 91 from the Beauty category. Durable and reliable.,Best Lipstick Model 91 for your needs.,6884,19045,287,49,SKU-5091,8900001091,2.1,22x34x7,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/beauty,lipstick?lock=91"
History Book Model 92,Books,Farhan,Default Seller,High quality History Book Model 92 from the Books category. Durable and reliable.,Best History Book Model 92 for your needs.,792,16581,249,325,SKU-5092,8900001092,2.42,43x22x12,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/books,historybook?lock=92"
Building Blocks Model 93,Toys,Farhan,Default Seller,High quality Building Blocks Model 93 from the Toys category. Durable and reliable.,Best Building Blocks Model 93 for your needs.,11636,16222,336,43,SKU-5093,8900001093,3.28,21x20x12,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/toys,buildingblocks?lock=93"
